Entity,Code,Date,Daily confirmed cases (cases)
United States,USA,13-Jan-20,0
United States,USA,14-Jan-20,0
United States,USA,15-Jan-20,0
United States,USA,16-Jan-20,0
United States,USA,17-Jan-20,0
United States,USA,18-Jan-20,0
United States,USA,19-Jan-20,0
United States,USA,20-Jan-20,0
United States,USA,21-Jan-20,1
United States,USA,22-Jan-20,0
United States,USA,23-Jan-20,0
United States,USA,24-Jan-20,0
United States,USA,25-Jan-20,1
United States,USA,26-Jan-20,0
United States,USA,27-Jan-20,3
United States,USA,28-Jan-20,0
United States,USA,29-Jan-20,0
United States,USA,30-Jan-20,0
United States,USA,31-Jan-20,1
United States,USA,1-Feb-20,1
United States,USA,2-Feb-20,1
United States,USA,3-Feb-20,3
United States,USA,4-Feb-20,0
United States,USA,5-Feb-20,0
United States,USA,6-Feb-20,1
United States,USA,7-Feb-20,0
United States,USA,8-Feb-20,0
United States,USA,9-Feb-20,0
United States,USA,10-Feb-20,0
United States,USA,11-Feb-20,1
United States,USA,12-Feb-20,0
United States,USA,13-Feb-20,1
United States,USA,14-Feb-20,1
United States,USA,15-Feb-20,0
United States,USA,16-Feb-20,0
United States,USA,17-Feb-20,0
United States,USA,18-Feb-20,0
United States,USA,19-Feb-20,0
United States,USA,20-Feb-20,0
United States,USA,21-Feb-20,1
United States,USA,22-Feb-20,19
United States,USA,23-Feb-20,0
United States,USA,24-Feb-20,0
United States,USA,25-Feb-20,18
United States,USA,26-Feb-20,0
United States,USA,27-Feb-20,6
United States,USA,28-Feb-20,1
United States,USA,29-Feb-20,6
United States,USA,1-Mar-20,3
United States,USA,2-Mar-20,20
United States,USA,3-Mar-20,14
United States,USA,4-Mar-20,22
United States,USA,5-Mar-20,34
United States,USA,6-Mar-20,74
United States,USA,7-Mar-20,105
United States,USA,8-Mar-20,95
United States,USA,9-Mar-20,121
United States,USA,10-Mar-20,200
United States,USA,11-Mar-20,271
United States,USA,12-Mar-20,287
United States,USA,13-Mar-20,351
United States,USA,14-Mar-20,511
United States,USA,15-Mar-20,777
United States,USA,16-Mar-20,823
United States,USA,17-Mar-20,887
United States,USA,18-Mar-20,1766
United States,USA,19-Mar-20,2988
United States,USA,20-Mar-20,4835
United States,USA,21-Mar-20,5374
United States,USA,22-Mar-20,7123
United States,USA,23-Mar-20,8459
United States,USA,24-Mar-20,11236
United States,USA,25-Mar-20,8789
United States,USA,26-Mar-20,13963
United States,USA,27-Mar-20,16797
United States,USA,28-Mar-20,18695
United States,USA,29-Mar-20,19979
United States,USA,30-Mar-20,18360
United States,USA,31-Mar-20,21595
United States,USA,1-Apr-20,24998
United States,USA,2-Apr-20,27103
United States,USA,3-Apr-20,28819
United States,USA,4-Apr-20,32425
United States,USA,5-Apr-20,34272
United States,USA,6-Apr-20,25398
United States,USA,7-Apr-20,30561
United States,USA,8-Apr-20,30613
United States,USA,9-Apr-20,33323
United States,USA,10-Apr-20,33901
United States,USA,11-Apr-20,35527
United States,USA,12-Apr-20,28391
United States,USA,13-Apr-20,27620
United States,USA,14-Apr-20,25023
United States,USA,15-Apr-20,26922
United States,USA,16-Apr-20,30148
United States,USA,17-Apr-20,31667
United States,USA,18-Apr-20,30833
United States,USA,19-Apr-20,32922
United States,USA,20-Apr-20,24601
United States,USA,21-Apr-20,28065
United States,USA,22-Apr-20,37289
United States,USA,23-Apr-20,17588
United States,USA,24-Apr-20,26543
