Entity,Code,Date,Daily confirmed deaths (deaths)
United States,USA,13-Jan-20,0
United States,USA,14-Jan-20,0
United States,USA,15-Jan-20,0
United States,USA,16-Jan-20,0
United States,USA,17-Jan-20,0
United States,USA,18-Jan-20,0
United States,USA,19-Jan-20,0
United States,USA,20-Jan-20,0
United States,USA,21-Jan-20,0
United States,USA,22-Jan-20,0
United States,USA,23-Jan-20,0
United States,USA,24-Jan-20,0
United States,USA,25-Jan-20,0
United States,USA,26-Jan-20,0
United States,USA,27-Jan-20,0
United States,USA,28-Jan-20,0
United States,USA,29-Jan-20,0
United States,USA,30-Jan-20,0
United States,USA,31-Jan-20,0
United States,USA,1-Feb-20,0
United States,USA,2-Feb-20,0
United States,USA,3-Feb-20,0
United States,USA,4-Feb-20,0
United States,USA,5-Feb-20,0
United States,USA,6-Feb-20,0
United States,USA,7-Feb-20,0
United States,USA,8-Feb-20,0
United States,USA,9-Feb-20,0
United States,USA,10-Feb-20,0
United States,USA,11-Feb-20,0
United States,USA,12-Feb-20,0
United States,USA,13-Feb-20,0
United States,USA,14-Feb-20,0
United States,USA,15-Feb-20,0
United States,USA,16-Feb-20,0
United States,USA,17-Feb-20,0
United States,USA,18-Feb-20,0
United States,USA,19-Feb-20,0
United States,USA,20-Feb-20,0
United States,USA,21-Feb-20,0
United States,USA,22-Feb-20,0
United States,USA,23-Feb-20,0
United States,USA,24-Feb-20,0
United States,USA,25-Feb-20,0
United States,USA,26-Feb-20,0
United States,USA,27-Feb-20,0
United States,USA,28-Feb-20,0
United States,USA,29-Feb-20,0
United States,USA,1-Mar-20,1
United States,USA,2-Mar-20,1
United States,USA,3-Mar-20,4
United States,USA,4-Mar-20,3
United States,USA,5-Mar-20,2
United States,USA,6-Mar-20,1
United States,USA,7-Mar-20,2
United States,USA,8-Mar-20,3
United States,USA,9-Mar-20,4
United States,USA,10-Mar-20,5
United States,USA,11-Mar-20,2
United States,USA,12-Mar-20,2
United States,USA,13-Mar-20,10
United States,USA,14-Mar-20,7
United States,USA,15-Mar-20,10
United States,USA,16-Mar-20,12
United States,USA,17-Mar-20,16
United States,USA,18-Mar-20,23
United States,USA,19-Mar-20,42
United States,USA,20-Mar-20,0
United States,USA,21-Mar-20,110
United States,USA,22-Mar-20,80
United States,USA,23-Mar-20,131
United States,USA,24-Mar-20,119
United States,USA,25-Mar-20,211
United States,USA,26-Mar-20,249
United States,USA,27-Mar-20,246
United States,USA,28-Mar-20,411
United States,USA,29-Mar-20,484
United States,USA,30-Mar-20,318
United States,USA,31-Mar-20,661
United States,USA,1-Apr-20,909
United States,USA,2-Apr-20,1059
United States,USA,3-Apr-20,915
United States,USA,4-Apr-20,1104
United States,USA,5-Apr-20,1344
United States,USA,6-Apr-20,1146
United States,USA,7-Apr-20,1342
United States,USA,8-Apr-20,1906
United States,USA,9-Apr-20,1922
United States,USA,10-Apr-20,1873
United States,USA,11-Apr-20,2087
United States,USA,12-Apr-20,1831
United States,USA,13-Apr-20,1500
United States,USA,14-Apr-20,1541
United States,USA,15-Apr-20,2408
United States,USA,16-Apr-20,4928
United States,USA,17-Apr-20,2299
United States,USA,18-Apr-20,3770
United States,USA,19-Apr-20,1856
United States,USA,20-Apr-20,1772
United States,USA,21-Apr-20,1857
United States,USA,22-Apr-20,2524
United States,USA,23-Apr-20,1721
United States,USA,24-Apr-20,3179
